TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PP,CDS,PH,FE-JONS,PCPE-EK,POSI,UCE,F.N.,UNA,UV,E.U.,PSE-EE/PSOE,PREPAL,AA,LV-GV,DN,PACMA/ZAAAA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPD,IF,PNV...(E09),SAIN,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
GIPUZKOA,003,906,ALTZAGA,117,62,1,61,0,61,55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,9,0,0,0,0,31
GIPUZKOA,003,907,GAZTELU,133,69,0,69,0,69,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,2,0,46
GIPUZKOA,004,003,AIZARNAZABAL,511,159,0,159,3,156,352,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,50,0,0,19,0,0,2,0,73
GIPUZKOA,004,011,ANTZUOLA,1731,841,0,841,1,840,890,28,0,0,0,1,1,0,0,0,0,0,126,0,2,1,0,0,0,0,1,1,0,0,0,2,0,216,2,0,99,1,0,8,0,351
GIPUZKOA,004,013,ARETXABALETA,5335,2093,5,2088,15,2073,3242,114,1,0,0,1,1,0,1,0,0,0,403,2,1,14,0,4,0,0,2,2,0,0,0,4,1,516,2,0,290,12,1,32,0,669
GIPUZKOA,004,016,AIA,1502,460,0,460,2,458,1042,8,0,0,0,0,0,0,0,0,1,0,14,0,0,4,0,1,0,0,0,0,0,0,0,0,0,252,0,0,61,0,0,4,0,113
GIPUZKOA,004,017,AZKOITIA,8743,3599,8,3591,12,3579,5144,224,0,1,0,0,0,1,0,0,0,3,569,0,0,17,10,2,1,0,3,4,0,1,0,12,2,1542,0,1,316,2,0,33,2,833
GIPUZKOA,004,018,AZPEITIA,11115,4411,6,4405,20,4385,6704,187,2,0,2,7,0,1,1,1,0,1,359,0,0,8,0,2,0,1,0,2,0,0,0,6,3,1882,1,1,501,9,0,19,1,1388
GIPUZKOA,004,020,BEIZAMA,146,70,0,70,1,69,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,33
GIPUZKOA,004,024,BIDEGOIAN,384,123,0,123,0,123,261,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,0,16,0,0,3,0,54
GIPUZKOA,004,027,ZESTOA,2777,1224,2,1222,3,1219,1553,17,0,0,0,0,0,0,1,0,0,0,87,1,0,2,0,0,0,0,1,0,0,0,0,4,0,431,1,0,144,3,1,12,0,514
GIPUZKOA,004,029,DEBA,4323,1784,6,1778,11,1767,2539,92,0,0,0,0,2,1,0,0,0,0,228,0,0,3,0,2,0,0,0,0,0,0,1,6,0,617,0,0,244,10,0,42,0,519
GIPUZKOA,004,030,EIBAR,22577,9386,21,9365,60,9305,13191,1142,1,6,1,1,9,2,2,0,1,1,3233,0,1,39,0,15,4,0,9,5,2,0,1,72,4,2408,4,6,654,12,1,170,4,1495
GIPUZKOA,004,032,ELGOIBAR,9035,3874,11,3863,21,3842,5161,359,0,0,1,0,0,2,0,0,1,1,931,0,0,11,1,2,2,0,2,4,0,0,0,17,0,1252,75,1,302,1,0,48,0,829
GIPUZKOA,004,033,ELGETA,859,441,1,440,2,438,418,14,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,2,1,0,160,0,1,96,1,0,4,0,132
GIPUZKOA,004,034,ESKORIATZA,3275,1217,0,1217,1,1216,2058,65,0,0,0,5,0,0,0,1,0,0,303,0,0,11,0,1,0,0,2,0,1,1,1,3,0,319,1,0,132,3,0,15,1,351
GIPUZKOA,004,039,GETARIA,2014,1054,1,1053,4,1049,960,20,0,0,0,0,0,0,0,0,0,1,40,0,0,1,0,0,0,0,1,0,0,0,0,2,1,507,1,0,129,0,0,5,0,341
GIPUZKOA,004,055,ARRASATE / MONDRAGON,18192,7334,20,7314,35,7279,10858,626,5,2,0,16,2,0,0,0,1,2,1976,2,0,28,1,8,0,0,19,3,0,0,1,23,4,1686,1,2,732,50,3,147,3,1936
GIPUZKOA,004,056,MUTRIKU,3989,1683,7,1676,13,1663,2306,85,0,1,0,1,0,0,0,0,0,0,94,0,0,5,0,0,0,0,1,1,0,0,0,5,0,720,1,0,142,2,0,11,0,594
GIPUZKOA,004,059,OÑATI,8785,3513,11,3502,7,3495,5272,194,1,0,0,2,4,0,1,0,0,0,380,0,0,12,0,1,0,0,6,2,0,0,1,4,4,1441,0,0,408,12,1,50,1,970
GIPUZKOA,004,061,ORIO,3869,1522,4,1518,7,1511,2347,54,0,0,0,0,0,0,0,0,0,0,191,0,0,3,0,0,0,0,1,2,0,0,0,2,1,687,3,2,130,2,0,13,1,419
