,id_provincia,año,Partidos,Votos
173,18,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",20628
174,19,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",6738
175,20,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",3936
176,21,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",7852
177,22,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",4034
178,23,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",10975
179,24,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",7774
180,25,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2759
181,26,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",4529
182,27,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2232
183,28,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",141092
184,29,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",38985
185,30,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",34101
186,31,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",7972
187,32,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2373
188,33,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",13955
189,34,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2987
190,35,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",23287
191,36,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",8877
192,37,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",5326
193,38,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",19661
194,39,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",14612
195,40,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2971
196,41,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",45589
197,42,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",1159
198,43,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",8024
199,44,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2518
200,45,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",13004
201,46,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",63116
202,47,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",11072
203,48,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",8215
204,49,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2394
205,50,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",19990
206,51,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",1544
207,52,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",1088
208,1,2024,PODEMOS,4577
209,2,2024,PODEMOS,3475
210,3,2024,PODEMOS,16346
211,4,2024,PODEMOS,3801
212,5,2024,PODEMOS,1538
213,6,2024,PODEMOS,5301
214,7,2024,PODEMOS,10001
215,8,2024,PODEMOS,93440
216,9,2024,PODEMOS,3895
217,10,2024,PODEMOS,3874
218,11,2024,PODEMOS,11208
219,12,2024,PODEMOS,6086
220,13,2024,PODEMOS,3468
221,14,2024,PODEMOS,7721
222,15,2024,PODEMOS,9962
223,16,2024,PODEMOS,1569
224,17,2024,PODEMOS,6774
225,18,2024,PODEMOS,10199
226,19,2024,PODEMOS,3223
227,20,2024,PODEMOS,8407
228,21,2024,PODEMOS,3836
229,22,2024,PODEMOS,2414
230,23,2024,PODEMOS,4645
231,24,2024,PODEMOS,4846
232,25,2024,PODEMOS,2644
233,26,2024,PODEMOS,2877
234,27,2024,PODEMOS,1787
235,28,2024,PODEMOS,124347
236,29,2024,PODEMOS,14709
237,30,2024,PODEMOS,12216
238,31,2024,PODEMOS,8394
239,32,2024,PODEMOS,1545
240,33,2024,PODEMOS,16027
241,34,2024,PODEMOS,1360
242,35,2024,PODEMOS,11697
243,36,2024,PODEMOS,8580
244,37,2024,PODEMOS,3071
245,38,2024,PODEMOS,11544
246,39,2024,PODEMOS,6922
247,40,2024,PODEMOS,1707
248,41,2024,PODEMOS,25292
249,42,2024,PODEMOS,733
250,43,2024,PODEMOS,7115
251,44,2024,PODEMOS,986
252,45,2024,PODEMOS,5791
253,46,2024,PODEMOS,36693
254,47,2024,PODEMOS,6479
255,48,2024,PODEMOS,14892
256,49,2024,PODEMOS,1324
257,50,2024,PODEMOS,12418
258,51,2024,PODEMOS,400
259,52,2024,PODEMOS,300
260,1,2024,JUNTS UE,61
261,2,2024,JUNTS UE,12
262,3,2024,JUNTS UE,496
263,4,2024,JUNTS UE,41
264,5,2024,JUNTS UE,16
265,6,2024,JUNTS UE,154
266,7,2024,JUNTS UE,2332
267,8,2024,JUNTS UE,288505
268,9,2024,JUNTS UE,22
269,10,2024,JUNTS UE,24
270,11,2024,JUNTS UE,197
271,12,2024,JUNTS UE,418
272,13,2024,JUNTS UE,23
273,14,2024,JUNTS UE,42
274,15,2024,JUNTS UE,72
275,16,2024,JUNTS UE,11
276,17,2024,JUNTS UE,68138
277,18,2024,JUNTS UE,50
278,19,2024,JUNTS UE,20
279,20,2024,JUNTS UE,176
280,21,2024,JUNTS UE,82
281,22,2024,JUNTS UE,104
282,23,2024,JUNTS UE,36
283,24,2024,JUNTS UE,121
284,25,2024,JUNTS UE,32642
285,26,2024,JUNTS UE,23
286,27,2024,JUNTS UE,61
287,28,2024,JUNTS UE,1166
288,29,2024,JUNTS UE,370
289,30,2024,JUNTS UE,149
290,31,2024,JUNTS UE,115
291,32,2024,JUNTS UE,41
292,33,2024,JUNTS UE,57
293,34,2024,JUNTS UE,11
294,35,2024,JUNTS UE,153
295,36,2024,JUNTS UE,138
296,37,2024,JUNTS UE,202
297,38,2024,JUNTS UE,183
298,39,2024,JUNTS UE,36
299,40,2024,JUNTS UE,7
300,41,2024,JUNTS UE,179
301,42,2024,JUNTS UE,7
302,43,2024,JUNTS UE,42001
303,44,2024,JUNTS UE,28
304,45,2024,JUNTS UE,19
305,46,2024,JUNTS UE,1077
306,47,2024,JUNTS UE,27
307,48,2024,JUNTS UE,210
308,49,2024,JUNTS UE,6
309,50,2024,JUNTS UE,79
310,51,2024,JUNTS UE,4
311,52,2024,JUNTS UE,3
312,1,2024,CEUS,19129
313,2,2024,CEUS,28
314,3,2024,CEUS,261
315,4,2024,CEUS,47
316,5,2024,CEUS,21
317,6,2024,CEUS,36
318,7,2024,CEUS,3066
319,8,2024,CEUS,1649
320,9,2024,CEUS,129
321,10,2024,CEUS,25
322,11,2024,CEUS,125
323,12,2024,CEUS,81
324,13,2024,CEUS,38
325,14,2024,CEUS,64
326,15,2024,CEUS,145
327,16,2024,CEUS,25
328,17,2024,CEUS,191
329,18,2024,CEUS,86
330,19,2024,CEUS,41
331,20,2024,CEUS,57735
332,21,2024,CEUS,44
333,22,2024,CEUS,28
334,23,2024,CEUS,36
335,24,2024,CEUS,44
336,25,2024,CEUS,110
337,26,2024,CEUS,100
338,27,2024,CEUS,46
339,28,2024,CEUS,1432
340,29,2024,CEUS,151
341,30,2024,CEUS,148
342,31,2024,CEUS,8241
343,32,2024,CEUS,32
344,33,2024,CEUS,138
345,34,2024,CEUS,22
346,35,2024,CEUS,22221
347,36,2024,CEUS,119
348,37,2024,CEUS,51
349,38,2024,CEUS,46055
350,39,2024,CEUS,261
351,40,2024,CEUS,26
352,41,2024,CEUS,190
353,42,2024,CEUS,9
354,43,2024,CEUS,222
355,44,2024,CEUS,15
356,45,2024,CEUS,74
