Unnamed: 0,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Víznar-18189,524,467,1003,917,46,26914,22171,21909,19081
"Zubia, La-18193",11166,9843,19885,992,54,26371,21658,21736,18664
Huétor de Santillán-18099,1113,949,1929,1001,55,26277,22856,21652,19331
Nivar-18144,610,546,1093,1004,56,26267,24046,21790,20863
Alhendín-18014,5582,4946,10216,1063,58,25922,21859,21436,18877
Peligros-18153,6457,5632,11676,1110,64,25640,21171,21224,18471
Cúllar Vega-18057,4339,3764,7770,1220,76,25006,21258,20865,18427
Churriana de la Vega-18062,9099,8033,16445,1269,79,24765,21179,20624,18420
Cenes de la Vega-18047,4448,3902,8231,1338,86,24449,20749,20333,17974
Vegas del Genil-18911,6747,5883,12165,1342,87,24412,21311,20439,18637
Pinos Genil-18157,859,745,1595,1408,93,24101,19864,20294,17462
Maracena-18127,12088,10545,22275,1417,95,24066,20901,20204,18129
"Gabias, Las-18905",12813,11186,22829,1453,99,23833,20377,19983,17721
Alfacar-18011,3283,2767,5688,1465,102,23733,20295,19936,17648
Guadix-18089,9951,8599,18527,1598,113,22962,19696,19330,17148
Motril-18140,31452,27626,58939,1610,116,22911,18277,19294,16240
Salobreña-18173,6616,5677,12562,1675,122,22581,17859,19115,15938
Atarfe-18022,10496,9055,20024,1699,127,22454,19750,19000,17330
Baza-18023,11416,10042,20579,1700,128,22452,18422,18881,16327
Padul-18150,5155,4460,9436,1718,131,22395,19599,19060,17214
Almuñécar-18017,14002,12142,27305,1723,134,22359,17492,18958,15762
Santa Fe-18175,7791,6735,15105,1738,137,22302,18724,18787,16611
Pulianas-18165,2892,2455,5559,1744,140,22255,19281,18914,16918
Dúrcal-18071,3960,3424,7233,1868,154,21694,19001,18609,16968
Güejar Sierra-18094,1322,1157,2909,2046,188,20942,17406,17775,15569
Vélez de Benaudalla-18184,1454,1234,3013,2057,190,20884,16669,17829,15275
Orgiva-18147,2743,2387,5709,2117,204,20578,15678,17462,14548
Güevéjar-18095,1434,1236,2677,2141,209,20437,18254,17663,16148
Lecrín-18119,1131,991,2258,2154,213,20375,16791,17570,15447
Nigüelas-18143,597,542,1228,2186,221,20178,16799,17296,15419
Lanjarón-18116,1839,1581,3664,2234,229,19961,15868,17164,14644
Cijuela-18048,1917,1674,3630,2236,230,19955,17710,17184,15815
Huéscar-18098,4103,3649,7220,2323,250,19557,15740,16720,14466
Torrenueva Costa-18916,1447,1286,3115,2333,254,19513,16123,16854,14755
Cogollos de la Vega-18050,1007,873,2064,2346,260,19467,16622,16946,15317
Chauchina-18059,2867,2474,5679,2349,262,19422,16867,16779,15212
Benalúa-18027,1677,1434,3324,2356,267,19402,16122,16661,14811
Loja-18122,11418,9797,20580,2360,271,19392,15769,16677,14629
Valderrubio-18914,1119,959,2060,2392,283,19199,15493,16707,14617
Gualchos-18093,2458,2155,5308,2421,291,19048,15634,16540,14326
Purullena-18167,1119,980,2313,2471,310,18814,16474,16261,14921
Nevada-18903,476,424,1105,2472,311,18809,12897,16347,12328
Láchar-18115,1880,1594,3755,2501,328,18631,16023,16130,14632
"Malahá, La-18126",1089,957,1845,2529,338,18447,16993,16167,15315
Valle del Zalabí-18907,1096,952,2116,2531,340,18432,15175,16098,14511
Caniles-18039,2292,1965,3910,2563,359,18278,15113,16088,14387
Huéneja-18097,564,503,1192,2577,364,18192,15406,15864,14562
Polopos-18162,741,640,1644,2580,365,18176,14645,15840,13863
Moraleda de Zafayona-18138,1574,1345,3130,2587,370,18090,15442,15776,14401
Campotéjar-18038,636,529,1250,2596,373,18047,15155,15928,14412
Cádiar-18035,735,631,1539,2605,379,17978,13797,15630,13323
Huétor Tájar-18100,5504,4797,10673,2620,384,17912,14528,15604,13753
Alhama de Granada-18013,3230,2818,5655,2648,398,17685,14258,15417,13463
Villanueva Mesía-18188,1086,961,2009,2666,408,17557,14192,15225,13305
Albuñol-18006,3303,2784,7391,2672,413,17476,14716,15406,13844
