TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,HB,EB,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PCPE-EHAC,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
GIPUZKOA,031,ELDUAIN,1,1,U,223,138,0,138,1,137,85,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,,0,59,0,0,,0,1
GIPUZKOA,032,ELGOIBAR,1,1,A,728,477,2,475,4,471,251,64,11,107,11,16,0,0,0,3,2,0,0,4,0,1,1,1,3,0,1,37,0,114,1,,0,91,2,1,,0,0
GIPUZKOA,032,ELGOIBAR,1,1,B,580,372,5,367,5,362,208,70,11,72,8,5,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,52,0,75,0,,0,56,1,1,,0,3
GIPUZKOA,032,ELGOIBAR,1,2,A,680,441,3,438,4,434,239,38,14,114,2,7,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,40,0,138,1,,0,72,2,0,,0,0
GIPUZKOA,032,ELGOIBAR,1,2,B,496,316,1,315,3,312,180,56,6,58,1,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,40,2,88,0,,0,45,0,0,,1,2
GIPUZKOA,032,ELGOIBAR,1,3,A,664,466,4,462,1,461,198,42,19,80,3,10,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,43,0,155,0,,0,102,0,0,,0,2
GIPUZKOA,032,ELGOIBAR,1,3,B,459,294,0,294,2,292,165,42,19,57,1,7,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,34,0,81,0,,0,46,0,0,,0,1
GIPUZKOA,032,ELGOIBAR,1,4,U,912,604,2,602,7,595,308,60,16,101,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,46,0,248,0,,0,116,0,0,,0,1
GIPUZKOA,032,ELGOIBAR,1,5,A,582,375,1,374,3,371,207,38,6,102,2,8,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,41,0,98,1,,0,66,1,1,,0,0
GIPUZKOA,032,ELGOIBAR,1,5,B,480,306,5,301,3,298,174,58,9,48,2,2,0,1,2,0,2,1,0,0,0,0,0,2,0,0,1,25,0,99,0,,0,45,0,0,,0,1
GIPUZKOA,032,ELGOIBAR,1,6,U,710,419,3,416,3,413,291,120,7,65,10,7,0,0,0,1,3,2,0,3,0,0,0,0,0,0,2,64,0,92,0,,0,34,2,1,,0,0
GIPUZKOA,032,ELGOIBAR,1,7,A,961,632,1,631,8,623,329,62,21,111,3,3,0,0,3,0,1,1,0,2,0,0,0,1,0,0,0,79,0,199,1,,0,135,0,1,,0,0
GIPUZKOA,032,ELGOIBAR,1,7,B,675,438,0,438,5,433,237,52,6,72,4,1,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,56,0,136,0,,0,97,1,0,,0,1
GIPUZKOA,032,ELGOIBAR,1,8,A,520,339,3,336,5,331,181,75,9,74,4,10,0,0,1,0,0,1,0,3,0,0,0,0,0,1,1,58,0,55,0,,0,38,0,1,,0,0
GIPUZKOA,032,ELGOIBAR,1,8,B,580,383,0,383,5,378,197,102,6,80,8,7,0,1,3,0,1,1,0,2,0,0,0,1,0,0,1,73,1,50,0,,0,40,0,1,,0,0
GIPUZKOA,032,ELGOIBAR,1,9,A,302,198,0,198,0,198,104,8,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,82,0,,0,65,0,0,,0,0
GIPUZKOA,032,ELGOIBAR,1,9,B,311,218,0,218,4,214,93,22,7,69,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,54,0,,0,39,0,0,,0,1
GIPUZKOA,033,ELGETA,1,1,U,808,543,6,537,10,527,265,15,9,171,2,2,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,36,0,188,1,,0,98,0,0,,0,0
GIPUZKOA,034,ESKORIATZA,1,1,A,678,422,5,417,3,414,256,63,5,99,6,7,0,0,4,0,0,0,0,3,0,0,0,0,1,1,3,23,0,65,0,,0,128,0,3,,1,2
GIPUZKOA,034,ESKORIATZA,1,1,B,715,426,3,423,6,417,289,108,9,60,10,6,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,24,0,71,1,,0,108,2,2,,2,6
GIPUZKOA,034,ESKORIATZA,1,2,A,864,551,3,548,6,542,313,51,12,174,2,0,0,0,4,1,1,3,0,2,0,0,0,0,0,0,0,31,0,99,0,,0,157,0,2,,1,2
GIPUZKOA,034,ESKORIATZA,1,2,B,740,426,7,419,1,418,314,58,13,133,4,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,19,0,75,0,,0,104,2,0,,1,0
GIPUZKOA,035,EZKIO-ITSASO,1,1,U,486,285,0,285,0,285,201,1,0,136,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,22,0,,0,112,0,0,,0,0
GIPUZKOA,036,HONDARRIBIA,1,1,A,556,327,3,324,5,319,229,30,7,89,1,7,1,0,4,2,4,1,0,2,1,0,0,0,0,0,0,42,0,45,0,,0,79,2,0,,0,2
GIPUZKOA,036,HONDARRIBIA,1,1,B,558,349,0,349,5,344,209,57,11,81,2,8,0,0,1,0,5,1,0,0,2,0,0,0,0,0,2,49,0,50,0,,0,70,0,0,,0,5
GIPUZKOA,036,HONDARRIBIA,1,2,U,605,327,2,325,1,324,278,23,8,88,2,3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,40,0,47,0,,0,108,0,0,,0,0
GIPUZKOA,036,HONDARRIBIA,1,3,A,750,440,3,437,8,429,310,21,8,112,6,5,0,0,3,0,6,0,1,0,0,0,0,0,1,1,0,40,0,69,0,,0,152,1,0,,0,3
GIPUZKOA,036,HONDARRIBIA,1,3,B,640,408,0,408,5,403,232,26,16,99,3,11,0,0,6,0,4,0,0,0,3,0,0,0,0,0,0,35,0,63,0,,0,134,0,0,,0,3
GIPUZKOA,036,HONDARRIBIA,1,4,U,709,435,5,430,4,426,274,21,26,96,3,6,0,0,3,1,12,1,0,0,2,0,0,0,0,0,0,46,0,68,0,,0,141,0,0,,0,0
GIPUZKOA,036,HONDARRIBIA,1,5,A,1133,608,2,606,7,599,525,44,32,165,4,17,0,0,4,0,8,0,0,0,1,0,1,0,0,1,0,74,0,88,0,,0,148,1,0,,1,10
GIPUZKOA,036,HONDARRIBIA,1,5,B,909,494,0,494,5,489,415,33,32,118,3,5,0,1,6,1,8,0,0,0,0,1,0,0,0,0,0,67,0,73,0,,0,137,1,1,,0,2
GIPUZKOA,036,HONDARRIBIA,1,6,U,968,489,6,483,7,476,479,55,7,163,2,11,0,0,3,0,0,1,1,0,0,0,0,2,0,2,0,40,0,46,0,,1,134,1,0,,0,7
GIPUZKOA,036,HONDARRIBIA,1,7,A,897,428,4,424,7,417,469,82,26,94,3,17,0,0,5,1,6,1,2,0,0,0,1,0,0,0,1,70,0,38,0,,0,61,0,1,,0,8
GIPUZKOA,036,HONDARRIBIA,1,7,B,819,400,4,396,7,389,419,93,27,79,7,8,0,1,8,0,3,6,1,0,1,0,0,0,0,1,2,61,2,31,1,,0,56,1,0,,0,0
GIPUZKOA,036,HONDARRIBIA,1,8,A,821,402,0,402,5,397,419,28,24,107,1,2,0,0,3,0,7,1,0,0,0,0,0,0,0,0,2,45,0,42,0,,0,134,0,1,,0,0
GIPUZKOA,036,HONDARRIBIA,1,8,B,708,367,1,366,2,364,341,28,20,103,2,7,0,1,1,0,4,0,0,0,0,0,0,0,0,0,2,54,0,38,0,,1,97,4,0,,0,2
GIPUZKOA,037,GAINTZA,1,1,U,112,56,0,56,1,55,56,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,29,0,0,,0,0
GIPUZKOA,038,GABIRIA,1,1,U,366,248,3,245,2,243,118,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,0,,0,159,0,0,,0,0
GIPUZKOA,039,GETARIA,1,1,A,806,617,3,614,6,608,189,9,2,176,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,28,0,206,0,,0,179,1,0,,0,1
GIPUZKOA,039,GETARIA,1,1,B,607,476,2,474,2,472,131,7,6,136,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,167,0,,0,125,0,0,,0,0
GIPUZKOA,039,GETARIA,1,1,C,442,319,3,316,0,316,123,6,1,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,89,0,,0,106,0,0,,0,0
GIPUZKOA,040,HERNANI,1,1,U,618,370,3,367,5,362,248,27,1,170,5,3,2,0,5,0,2,2,0,0,0,0,0,0,0,0,0,24,0,19,0,,0,96,2,0,,0,4
GIPUZKOA,040,HERNANI,1,2,A,690,406,0,406,7,399,284,52,9,162,2,4,0,0,1,0,1,2,0,0,0,0,0,0,1,0,2,38,0,38,0,,0,83,0,1,,0,3
GIPUZKOA,040,HERNANI,1,2,B,636,349,5,344,4,340,287,48,9,138,1,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,33,0,30,0,,0,69,0,1,,0,2
GIPUZKOA,040,HERNANI,1,3,U,861,530,5,525,4,521,331,21,7,266,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,46,0,57,1,,0,116,1,1,,0,2
GIPUZKOA,040,HERNANI,1,4,A,687,375,1,374,10,364,312,60,8,140,3,1,0,1,0,0,5,11,0,1,1,0,0,1,0,0,0,47,0,28,0,,0,54,2,0,,0,1
GIPUZKOA,040,HERNANI,1,4,B,730,426,5,421,4,417,304,91,16,138,10,3,0,0,6,0,2,10,0,0,0,0,0,0,0,0,0,67,0,30,0,,0,44,0,0,,0,0
GIPUZKOA,040,HERNANI,1,5,U,996,617,3,614,6,608,379,134,20,204,13,12,2,0,2,0,4,19,0,0,0,0,0,0,0,0,1,68,0,37,1,,0,84,2,0,,0,5
GIPUZKOA,040,HERNANI,1,6,A,859,473,4,469,11,458,386,97,8,161,4,10,0,2,6,1,5,12,0,3,0,0,1,0,0,0,2,38,0,44,0,,0,63,1,0,,0,0
GIPUZKOA,040,HERNANI,1,6,B,835,493,3,490,6,484,342,132,7,136,10,14,0,0,5,2,4,12,0,1,0,0,0,1,0,0,3,45,0,48,0,,0,52,3,3,,0,6
GIPUZKOA,040,HERNANI,1,7,A,516,292,0,292,5,287,224,74,3,97,7,5,0,1,1,0,1,16,0,0,0,0,0,1,0,0,0,26,0,15,0,,1,37,0,1,,0,1
GIPUZKOA,040,HERNANI,1,7,B,607,349,0,349,4,345,258,86,3,123,10,6,0,0,2,0,1,5,0,3,2,0,1,0,0,0,0,35,2,25,0,,0,40,0,0,,0,1
GIPUZKOA,040,HERNANI,1,8,A,640,353,2,351,3,348,287,60,4,142,7,9,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,24,0,41,3,,0,45,0,0,,0,1
GIPUZKOA,040,HERNANI,1,8,B,536,294,0,294,4,290,242,66,3,116,2,7,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,26,0,21,1,,0,34,1,0,,0,0
GIPUZKOA,040,HERNANI,1,9,U,567,354,3,351,0,351,213,3,1,239,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,0,,0,70,0,0,,0,0
GIPUZKOA,040,HERNANI,1,10,A,775,381,2,379,0,379,394,35,10,187,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,45,0,,0,77,2,0,,0,2
GIPUZKOA,040,HERNANI,1,10,B,647,332,2,330,2,328,315,61,4,137,0,6,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,14,0,30,1,,0,71,0,0,,0,0
GIPUZKOA,040,HERNANI,1,11,A,598,318,5,313,0,313,280,59,13,104,2,5,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,45,0,22,0,,0,54,0,0,,0,3
GIPUZKOA,040,HERNANI,1,11,B,549,268,2,266,7,259,281,75,7,74,2,4,0,2,4,0,1,4,0,1,0,0,0,0,0,1,2,31,0,14,0,,0,35,0,0,,1,1
GIPUZKOA,040,HERNANI,1,12,U,552,325,2,323,4,319,227,42,5,142,1,1,1,0,3,0,1,3,0,0,0,0,0,0,0,1,3,39,0,17,0,,0,58,0,1,,0,1
GIPUZKOA,040,HERNANI,1,13,U,941,588,1,587,2,585,353,141,4,240,7,11,0,0,2,0,5,7,2,2,0,0,0,0,0,0,0,75,0,31,1,,0,53,1,0,,1,2
GIPUZKOA,040,HERNANI,1,14,U,787,472,6,466,8,458,315,125,15,118,4,5,1,1,4,0,7,7,0,4,0,0,0,0,0,0,0,50,2,37,0,,0,70,4,3,,1,0
GIPUZKOA,041,HERNIALDE,1,1,U,222,96,0,96,0,96,126,0,2,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,16,0,,0,31,0,0,,0,1
GIPUZKOA,042,IBARRA,1,1,A,746,429,10,419,0,419,317,62,7,122,1,14,1,1,1,0,6,1,0,0,0,1,2,0,0,0,0,52,0,22,3,,0,119,0,2,,0,2
GIPUZKOA,042,IBARRA,1,1,B,690,388,1,387,0,387,302,89,5,102,3,5,2,0,3,0,2,4,0,0,0,3,0,0,0,1,0,47,0,37,2,,0,80,2,0,,0,0
GIPUZKOA,042,IBARRA,1,2,A,666,388,4,384,7,377,278,68,5,118,1,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,48,0,34,0,,1,93,0,0,,0,1
GIPUZKOA,042,IBARRA,1,2,B,584,356,6,350,4,346,228,75,5,85,0,7,0,0,0,0,2,4,0,0,0,0,0,4,0,0,0,49,0,31,0,,0,81,1,2,,0,0
GIPUZKOA,042,IBARRA,1,3,U,595,332,4,328,3,325,263,30,12,110,4,0,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,40,0,36,1,,0,83,1,0,,0,1
GIPUZKOA,043,IDIAZABAL,1,1,A,642,450,5,445,4,441,192,4,11,89,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,40,0,122,0,,0,166,0,0,,0,1
GIPUZKOA,043,IDIAZABAL,1,1,B,429,303,1,302,3,299,126,10,4,51,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,39,0,81,0,,0,111,0,0,,0,0
GIPUZKOA,043,IDIAZABAL,1,2,U,501,331,0,331,2,329,170,3,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,92,0,,0,139,0,0,,0,0
GIPUZKOA,044,IKAZTEGIETA,1,1,U,290,176,0,176,1,175,114,0,1,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,16,0,,0,56,0,0,,0,0
GIPUZKOA,045,IRUN,1,1,A,875,486,1,485,7,478,389,51,84,71,0,14,0,1,5,0,11,5,0,1,4,0,0,0,0,0,0,54,0,73,1,,0,100,2,0,,0,1
GIPUZKOA,045,IRUN,1,1,B,802,461,2,459,4,455,341,73,88,59,4,10,0,0,1,2,9,2,0,0,1,0,0,0,0,0,2,44,0,54,1,,1,99,0,2,,0,3
GIPUZKOA,045,IRUN,1,2,A,739,446,6,440,7,433,293,88,37,67,4,13,0,0,3,0,12,4,0,0,0,0,1,0,0,0,0,49,0,60,0,,0,93,1,0,,0,1
GIPUZKOA,045,IRUN,1,2,B,626,392,1,391,7,384,234,79,38,67,12,11,1,0,7,0,1,2,0,0,4,0,0,0,0,0,2,31,1,47,1,,0,73,1,0,,0,6
GIPUZKOA,045,IRUN,1,3,A,748,397,5,392,5,387,351,81,61,43,8,7,0,0,4,1,2,0,0,0,10,0,0,2,0,0,2,62,0,32,0,,0,62,3,0,,1,6
GIPUZKOA,045,IRUN,1,3,B,672,382,0,382,0,382,290,61,57,50,12,13,1,0,3,2,2,0,1,0,3,0,0,0,0,0,1,53,0,55,5,,0,54,5,0,,1,3
GIPUZKOA,045,IRUN,1,4,U,865,469,11,458,11,447,396,118,43,70,8,11,0,0,8,0,1,3,1,0,0,0,0,0,0,0,6,52,0,47,0,,1,75,1,1,,0,1
GIPUZKOA,045,IRUN,2,1,A,683,375,0,375,3,372,308,82,17,89,9,11,0,0,2,0,5,1,0,0,2,1,0,1,0,0,1,54,0,27,0,,0,63,1,3,,1,2
GIPUZKOA,045,IRUN,2,1,B,611,364,2,362,4,358,247,90,8,62,4,7,2,0,3,0,0,2,0,0,2,0,1,1,1,0,3,46,0,48,0,,0,66,2,5,,1,4
GIPUZKOA,045,IRUN,2,2,A,749,336,2,334,5,329,413,100,24,56,0,7,0,0,0,0,6,2,0,1,0,0,0,0,0,0,2,50,0,22,1,,0,56,0,2,,0,0
GIPUZKOA,045,IRUN,2,2,B,783,374,0,374,8,366,409,115,16,70,11,11,0,0,6,0,3,2,0,2,0,0,0,0,0,0,0,66,0,27,1,,2,29,0,2,,1,2
GIPUZKOA,045,IRUN,2,3,U,845,455,7,448,3,445,390,84,28,109,2,7,0,0,2,0,9,2,1,1,2,0,0,0,0,1,2,39,0,46,0,,0,99,2,2,,0,7
GIPUZKOA,045,IRUN,2,4,U,730,367,2,365,10,355,363,77,16,79,9,4,1,0,4,2,10,5,0,0,0,0,0,0,0,1,0,52,1,28,1,,0,65,0,0,,0,0
GIPUZKOA,045,IRUN,2,5,U,920,450,4,446,9,437,470,89,14,122,4,8,0,0,6,0,3,6,0,1,2,0,0,0,0,0,2,41,0,49,0,,2,82,0,1,,2,3
GIPUZKOA,045,IRUN,2,6,A,765,447,4,443,6,437,318,67,39,83,3,16,0,0,6,0,15,1,1,0,1,0,1,0,0,0,0,70,0,34,0,,0,92,3,2,,0,3
GIPUZKOA,045,IRUN,2,6,B,689,401,6,395,4,391,288,75,31,85,6,16,0,1,5,1,5,2,1,0,0,1,1,2,0,0,1,62,0,24,0,,0,67,0,0,,1,4
GIPUZKOA,045,IRUN,2,7,A,573,309,0,309,5,304,264,55,20,57,3,9,0,2,2,0,1,2,0,0,1,0,0,0,0,1,1,60,0,33,0,,0,50,5,0,,0,2
GIPUZKOA,045,IRUN,2,7,B,573,240,6,234,5,229,333,0,0,58,9,9,2,1,6,0,1,0,0,0,1,0,0,0,0,1,0,60,0,24,1,,0,52,1,0,,0,3
GIPUZKOA,045,IRUN,2,8,A,678,369,5,364,5,359,309,95,11,81,5,5,0,0,3,0,2,8,0,0,0,0,0,0,0,0,3,39,0,35,0,,0,65,1,3,,1,2
GIPUZKOA,045,IRUN,2,8,B,674,323,3,320,6,314,351,89,11,56,2,11,1,0,6,1,7,4,0,1,1,0,0,0,1,0,3,36,1,30,1,,1,45,2,2,,0,2
GIPUZKOA,045,IRUN,3,1,A,729,432,2,430,3,427,297,66,95,58,4,17,0,0,4,1,10,1,0,0,1,0,0,0,0,1,0,47,1,54,0,,0,61,3,0,,0,3
GIPUZKOA,045,IRUN,3,1,B,641,354,2,352,6,346,287,56,75,39,3,7,2,0,5,1,13,2,1,1,4,0,0,0,0,1,3,31,1,39,0,,0,55,1,0,,1,5
GIPUZKOA,045,IRUN,3,2,A,614,359,5,354,6,348,255,84,54,26,8,24,0,0,3,0,6,0,2,0,0,0,0,0,0,0,4,38,0,42,0,,0,54,1,1,,0,1
GIPUZKOA,045,IRUN,3,2,B,562,318,4,314,6,308,244,102,33,39,6,18,2,0,4,2,6,0,1,0,2,0,0,0,0,0,1,31,0,18,1,,0,40,0,0,,0,2
GIPUZKOA,045,IRUN,3,3,A,573,305,5,300,7,293,268,88,30,40,8,8,0,0,5,0,3,3,0,1,0,0,1,0,0,0,2,47,0,31,0,,0,25,1,0,,0,0
GIPUZKOA,045,IRUN,3,3,B,515,273,15,258,3,255,242,85,33,30,5,16,0,0,3,0,2,5,0,0,0,0,0,0,0,1,0,28,0,19,1,,0,23,1,1,,1,1
GIPUZKOA,045,IRUN,3,4,U,962,490,0,490,4,486,472,213,54,45,14,21,0,0,4,1,11,4,1,1,0,0,0,0,0,0,3,49,0,22,2,,0,36,0,1,,0,4
GIPUZKOA,045,IRUN,3,5,A,644,382,3,379,8,371,262,140,45,34,11,8,0,0,6,2,6,2,0,1,0,0,0,0,0,1,2,31,0,43,0,,0,35,3,0,,0,1
GIPUZKOA,045,IRUN,3,5,B,718,427,4,423,7,416,291,172,38,67,0,16,0,1,2,0,0,2,0,1,0,0,0,0,0,1,4,29,0,29,0,,1,36,0,0,,0,7
GIPUZKOA,045,IRUN,3,6,U,538,282,1,281,6,275,256,35,66,40,3,12,0,0,5,1,5,0,0,2,0,0,0,0,0,0,2,22,1,39,0,,0,39,0,1,,0,2
GIPUZKOA,045,IRUN,3,7,A,668,396,9,387,11,376,272,99,45,37,8,18,0,0,5,1,5,3,0,0,1,1,1,0,0,1,0,62,0,36,0,,0,50,1,2,,0,0
GIPUZKOA,045,IRUN,3,7,B,624,368,3,365,12,353,256,104,56,36,6,15,0,0,8,3,4,1,0,0,1,0,0,0,0,0,0,50,0,26,0,,0,37,1,1,,0,4
GIPUZKOA,045,IRUN,3,8,A,787,448,1,447,4,443,339,154,45,55,11,16,0,0,6,0,4,4,0,0,1,0,0,1,0,0,1,61,0,32,5,,0,47,0,0,,0,0
GIPUZKOA,045,IRUN,3,8,B,778,447,4,443,3,440,331,151,32,64,11,16,0,0,10,0,4,2,0,1,0,0,0,0,0,1,1,53,0,30,0,,1,54,1,1,,0,7
GIPUZKOA,045,IRUN,3,9,A,992,544,9,535,5,530,448,140,32,81,7,8,0,0,7,4,7,6,1,0,0,0,0,0,1,0,6,57,1,62,0,,0,110,0,0,,0,0
GIPUZKOA,045,IRUN,3,9,B,830,468,2,166,6,160,362,90,43,92,6,19,0,0,8,0,4,2,1,1,0,0,0,0,0,0,5,54,0,49,0,,0,77,4,0,,1,4
GIPUZKOA,045,IRUN,3,10,A,599,348,6,342,5,337,251,154,13,32,8,10,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,37,0,31,0,,0,35,4,1,,0,4
GIPUZKOA,045,IRUN,3,10,B,551,335,3,332,4,328,216,185,14,28,6,14,0,0,4,0,5,2,0,1,0,0,0,0,1,0,2,31,0,9,0,,0,23,0,0,,0,3
GIPUZKOA,045,IRUN,3,11,U,861,483,1,482,15,467,378,124,16,100,12,12,0,0,2,2,2,6,0,0,1,0,0,0,0,1,1,85,0,37,0,,0,61,0,0,,0,5
GIPUZKOA,045,IRUN,3,12,A,973,567,8,559,4,555,406,179,53,53,26,41,1,0,7,0,1,12,0,1,1,0,0,0,0,0,0,68,0,55,0,,0,50,0,0,,0,7
GIPUZKOA,045,IRUN,3,12,B,927,509,5,504,7,497,418,178,44,45,17,21,1,1,5,1,8,9,1,2,1,0,0,0,0,0,1,58,1,46,0,,0,52,1,1,,0,3
GIPUZKOA,045,IRUN,3,13,A,811,483,8,475,4,471,328,167,60,43,5,24,0,2,8,0,9,5,1,2,0,0,0,0,0,0,1,50,0,42,1,,1,47,1,1,,0,1
GIPUZKOA,045,IRUN,3,13,B,800,460,1,459,4,455,340,185,52,42,7,20,0,1,6,0,11,3,0,1,1,0,0,0,0,0,1,51,0,26,0,,0,43,2,1,,0,2
GIPUZKOA,045,IRUN,3,14,A,672,363,3,360,11,349,309,118,13,63,19,8,1,0,3,0,1,6,0,2,0,0,0,0,0,0,0,41,0,24,0,,0,46,0,1,,0,3
GIPUZKOA,045,IRUN,3,14,B,602,340,7,333,8,325,262,122,18,48,10,11,3,0,6,0,2,6,0,0,1,0,0,1,1,0,0,49,0,11,0,,0,35,1,0,,0,0
GIPUZKOA,045,IRUN,3,15,U,1053,563,2,561,19,542,490,117,52,76,11,14,1,0,14,1,11,4,1,2,2,0,2,0,0,0,3,91,0,58,4,,0,70,2,0,,1,5
GIPUZKOA,045,IRUN,4,1,U,758,477,7,470,10,460,281,188,32,39,10,15,0,3,4,1,4,7,0,1,0,1,1,2,0,0,2,62,0,33,0,,0,53,0,0,,0,2
GIPUZKOA,045,IRUN,4,2,U,1047,648,7,641,12,629,399,276,29,79,17,20,1,2,5,1,8,3,1,3,0,0,0,0,0,0,1,65,0,47,2,,1,60,3,1,,0,4
GIPUZKOA,045,IRUN,4,3,A,902,482,1,481,10,471,420,183,25,60,4,23,1,0,8,0,6,7,1,1,0,0,0,1,0,0,3,58,2,38,1,,0,44,0,3,,0,2
GIPUZKOA,045,IRUN,4,3,B,878,468,7,461,9,452,410,179,26,63,5,13,2,0,6,3,7,5,3,1,0,0,0,1,1,1,4,52,0,24,1,,0,49,1,3,,1,1
GIPUZKOA,045,IRUN,4,4,U,618,363,1,362,7,355,255,58,20,65,1,4,1,0,3,1,6,8,0,0,0,2,1,0,0,0,0,46,0,55,1,,0,79,1,0,,0,3
GIPUZKOA,045,IRUN,4,5,A,601,339,0,339,4,335,262,93,18,44,4,8,0,0,1,2,6,3,0,0,2,0,0,0,0,0,1,56,0,34,0,,1,58,1,0,,0,3
GIPUZKOA,045,IRUN,4,5,B,537,301,3,298,8,290,236,79,16,42,5,9,0,0,4,0,3,0,0,0,1,0,0,0,0,0,2,50,0,36,0,,1,38,1,0,,0,3
GIPUZKOA,045,IRUN,4,6,A,601,322,4,318,7,311,279,77,6,81,17,11,0,0,7,1,2,6,0,0,1,0,0,0,1,2,1,33,0,25,1,,0,37,0,1,,0,1
GIPUZKOA,045,IRUN,4,6,B,609,359,3,356,1,355,250,81,7,81,18,19,1,0,8,3,3,13,0,1,1,0,0,0,0,2,4,34,0,21,1,,0,56,1,0,,0,0
GIPUZKOA,045,IRUN,4,7,U,609,358,8,350,4,346,251,52,12,129,3,5,0,0,5,0,5,5,0,0,1,0,0,1,0,0,1,33,0,25,2,,0,65,1,0,,0,1
GIPUZKOA,045,IRUN,4,8,U,601,325,1,324,6,318,276,54,30,66,2,9,0,0,6,0,2,4,0,1,3,0,0,0,0,0,1,44,0,41,0,,2,51,2,0,,0,0
GIPUZKOA,046,IRURA,1,1,U,483,292,5,287,3,284,191,14,3,105,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,0,67,1,,0,73,0,0,,0,1
GIPUZKOA,047,ITSASONDO,1,1,U,623,376,4,372,6,366,247,9,6,158,2,1,0,0,1,0,3,1,0,0,0,0,0,2,0,0,0,28,0,62,1,,0,88,0,0,,0,4
GIPUZKOA,048,LARRAUL,1,1,U,136,68,0,68,0,68,68,1,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,,0,15,0,0,,0,1
GIPUZKOA,049,LAZKAO,1,1,A,798,523,1,522,11,511,275,97,4,127,7,14,0,0,3,0,2,2,1,1,0,0,0,0,0,0,0,57,0,95,1,,0,97,0,1,,0,2
GIPUZKOA,049,LAZKAO,1,1,B,655,416,1,415,6,409,239,110,5,100,12,12,0,0,4,0,0,4,0,0,0,0,0,0,0,0,1,39,0,77,0,,0,42,1,0,,0,2
GIPUZKOA,049,LAZKAO,1,2,A,716,455,4,451,8,443,261,62,3,146,5,11,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,36,0,99,0,,0,69,6,0,,0,0
GIPUZKOA,049,LAZKAO,1,2,B,644,393,0,393,4,389,251,36,3,144,6,3,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,41,0,62,0,,0,82,5,0,,0,0
GIPUZKOA,049,LAZKAO,1,2,C,607,368,3,365,0,365,239,68,1,124,2,3,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,41,0,64,0,,0,55,1,0,,0,0
GIPUZKOA,049,LAZKAO,1,3,U,552,360,4,356,0,356,192,22,5,120,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,22,0,117,0,,0,65,0,0,,0,0
