TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,HB,EB,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PCPE-EHAC,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
BIZKAIA,016,BERANGO,1,3,U,984,720,1,719,3,716,264,49,9,219,6,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,2,53,0,234,0,0,1,128,0,5,,0,4
BIZKAIA,017,BERMEO,1,1,U,574,356,4,352,1,351,218,29,3,86,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,64,0,48,1,0,0,113,0,0,,0,4
BIZKAIA,017,BERMEO,1,2,U,853,532,4,528,3,525,321,37,5,176,1,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,76,0,109,0,0,0,111,1,0,,0,0
BIZKAIA,017,BERMEO,1,3,U,675,440,2,438,0,438,235,29,3,107,5,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,33,0,106,0,0,0,149,0,0,,0,0
BIZKAIA,017,BERMEO,1,4,U,631,414,1,413,2,411,217,15,5,100,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,31,0,102,0,0,0,149,1,0,,0,2
BIZKAIA,017,BERMEO,1,5,U,778,483,6,477,0,477,295,34,5,118,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,71,0,92,0,0,0,147,1,0,,0,1
BIZKAIA,017,BERMEO,2,1,U,828,551,8,543,1,542,277,25,11,128,9,3,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,64,0,113,1,0,1,177,0,0,,0,3
BIZKAIA,017,BERMEO,2,2,A,871,416,3,413,1,412,455,32,6,116,5,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,42,0,92,0,0,0,107,0,0,,3,0
BIZKAIA,017,BERMEO,2,2,B,753,351,4,347,0,347,402,40,2,107,4,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,34,0,79,2,0,0,70,0,0,,2,0
BIZKAIA,017,BERMEO,2,3,A,774,512,3,509,2,507,262,29,6,134,4,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,53,1,132,1,0,0,139,1,0,,0,0
BIZKAIA,017,BERMEO,2,3,B,634,408,4,404,1,403,226,37,2,90,1,3,1,0,1,0,2,1,0,1,0,1,0,0,0,0,1,42,0,95,0,0,0,122,0,0,,1,1
BIZKAIA,017,BERMEO,2,4,U,1166,751,8,743,2,741,415,47,2,174,0,7,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,62,0,254,1,0,0,186,0,0,,0,2
BIZKAIA,017,BERMEO,2,5,U,887,531,0,531,4,527,356,82,3,157,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,72,0,111,0,0,0,95,0,0,,0,0
BIZKAIA,017,BERMEO,2,6,U,687,421,5,416,0,416,266,7,0,48,0,3,0,0,1,1,4,1,0,0,0,0,0,0,1,0,0,12,0,188,1,0,0,149,0,0,,0,0
BIZKAIA,017,BERMEO,3,1,U,1156,648,15,633,6,627,508,55,11,174,3,0,0,0,5,0,2,4,2,0,0,0,0,1,0,0,0,131,0,91,1,0,0,145,0,0,,0,2
BIZKAIA,017,BERMEO,3,2,A,949,615,7,608,3,605,334,50,8,171,3,7,0,0,6,1,2,0,0,2,0,0,0,0,0,0,0,51,0,160,2,0,0,142,0,0,,0,0
BIZKAIA,017,BERMEO,3,2,B,733,485,3,482,3,479,248,50,0,132,3,2,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,33,0,131,1,0,0,118,0,0,,0,2
BIZKAIA,017,BERMEO,3,3,A,935,610,3,607,1,606,325,14,10,138,2,3,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,66,0,206,1,0,0,158,0,0,,0,1
BIZKAIA,017,BERMEO,3,3,B,732,462,1,461,2,459,270,8,5,102,2,3,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,49,0,147,0,0,0,134,0,0,,0,2
