Provincias;Sexo;Periodo;Total
45 Toledo;Total;2017;686.841
45 Toledo;Total;2016;688.672
45 Toledo;Total;2014;703.236
46 Valencia/València;Total;2021;2.589.312
46 Valencia/València;Total;2020;2.591.875
46 Valencia/València;Total;2019;2.565.124
46 Valencia/València;Total;2018;2.547.986
46 Valencia/València;Total;2017;2.540.707
46 Valencia/València;Total;2016;2.544.264
46 Valencia/València;Total;2014;2.547.044
47 Valladolid;Total;2021;519.361
47 Valladolid;Total;2020;520.649
47 Valladolid;Total;2019;519.546
47 Valladolid;Total;2018;519.851
47 Valladolid;Total;2017;521.130
47 Valladolid;Total;2016;523.679
47 Valladolid;Total;2014;531.141
49 Zamora;Total;2021;168.725
49 Zamora;Total;2020;170.588
49 Zamora;Total;2019;172.539
49 Zamora;Total;2018;174.549
49 Zamora;Total;2017;177.404
49 Zamora;Total;2016;180.406
49 Zamora;Total;2014;189.042
50 Zaragoza;Total;2021;967.452
50 Zaragoza;Total;2020;972.528
50 Zaragoza;Total;2019;964.693
50 Zaragoza;Total;2018;954.811
50 Zaragoza;Total;2017;953.486
50 Zaragoza;Total;2016;950.507
50 Zaragoza;Total;2014;972.508
51 Ceuta;Total;2021;83.517
51 Ceuta;Total;2020;84.202
51 Ceuta;Total;2019;84.777
51 Ceuta;Total;2018;85.144
51 Ceuta;Total;2017;84.959
51 Ceuta;Total;2016;84.519
51 Ceuta;Total;2014;84.534
52 Melilla;Total;2021;86.261
52 Melilla;Total;2020;87.076
52 Melilla;Total;2019;86.487
52 Melilla;Total;2018;86.384
52 Melilla;Total;2017;86.120
52 Melilla;Total;2016;86.026
52 Melilla;Total;2014;83.619
