TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,PACMA/ATTKA,MSR,UPYD,C´S,I.FEM,SAIN,IU-LV,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
ARABA-ÁLAVA,21,ELBURGO/BURGELU,1,1,U,475,172,2,170,1,169,303,12,28,0,0,0,0,0,0,0,2,0,12,2,0,0,12,1,31,44,0,0,0,1,10,2,0,1,2,0,0,0,9,0,0,0,0,0,0,0
ARABA-ÁLAVA,22,ELCIEGO,1,1,U,826,411,15,396,5,391,415,90,108,0,1,1,0,0,0,0,5,0,16,6,0,0,25,5,29,53,0,0,0,5,8,8,0,0,0,0,0,0,27,0,1,0,1,0,2,0
ARABA-ÁLAVA,23,ELVILLAR/BILAR,1,1,U,278,138,5,133,7,126,140,14,38,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,26,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0
ARABA-ÁLAVA,27,IRURAIZ-GAUNA,1,1,U,419,161,5,156,2,154,258,6,18,0,0,0,0,0,0,0,1,0,6,1,0,0,10,0,52,50,0,0,0,0,3,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0
ARABA-ÁLAVA,28,LABASTIDA/BASTIDA,1,1,U,1093,506,7,499,5,494,587,62,164,0,0,0,1,0,0,0,1,0,18,3,2,0,29,1,77,79,2,0,3,5,2,4,1,3,2,0,0,1,29,0,1,0,1,2,1,0
ARABA-ÁLAVA,30,LAGRÁN,1,1,U,151,85,3,82,1,81,66,11,28,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,7,21,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0
ARABA-ÁLAVA,31,LAGUARDIA,1,1,A,585,300,14,286,6,280,285,23,96,0,0,0,0,0,0,0,3,0,7,4,1,0,9,2,44,52,0,0,1,0,3,16,0,0,1,0,0,1,14,1,0,1,0,0,1,0
ARABA-ÁLAVA,31,LAGUARDIA,1,1,B,636,292,8,284,3,281,344,27,102,0,0,0,0,0,0,1,1,0,4,3,0,0,9,1,43,61,0,0,0,0,1,8,0,0,0,0,0,0,17,1,0,0,0,1,1,0
ARABA-ÁLAVA,32,LANCIEGO/LANTZIEGO,1,1,U,521,235,6,229,1,228,286,43,49,0,0,0,0,0,0,0,4,1,4,1,0,0,18,2,25,56,0,0,0,1,3,0,0,0,0,0,0,0,16,0,2,0,2,0,1,0
ARABA-ÁLAVA,33,LAPUEBLA DE LABARCA,1,1,U,662,366,5,361,10,351,296,46,72,0,0,0,0,1,0,0,1,0,12,1,0,0,15,1,45,142,0,0,0,0,10,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
ARABA-ÁLAVA,34,LEZA,1,1,U,167,96,1,95,0,95,71,13,5,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,29,32,1,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,1,A,636,285,1,284,6,278,351,34,46,0,0,0,0,0,0,0,2,0,10,4,0,0,3,4,50,107,1,0,0,1,1,2,0,1,1,0,0,0,10,0,1,0,0,0,0,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,1,B,740,319,8,311,8,303,421,45,33,0,0,0,1,0,0,1,8,0,11,2,1,1,16,0,70,92,2,0,1,0,2,2,0,0,0,1,0,0,11,0,1,0,1,1,0,0
ARABA-ÁLAVA,36,LAUDIO/LLODIO,1,2,A,776,356,3,353,5,348,420,51,31,0,0,3,0,1,1,0,4,0,10,1,0,0,17,5,95,89,0,0,0,1,3,0,0,0,1,0,0,0,30,0,0,0,2,0,3,0
